Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-05-10,274.899169921875,300.8633563701923,265.88754507211536,271.2409855769231,2327814
2010-05-11,269.92041015625,278.0219528038363,269.06387292228186,276.594368964022,1351288
2010-05-12,271.0446472167969,274.0782629443778,268.06455281448785,270.1702477386774,2740076
2010-05-13,273.2395324707031,275.95195477912677,271.7584273380194,273.0610844944858,1321452
2010-05-14,272.6148986816406,277.30808803541504,269.45637897907125,273.38223350724314,2026996
2010-05-17,266.1551818847656,276.5765490453419,261.99733492950344,276.5765490453419,3722050
2010-05-18,262.354248046875,266.2444232663267,259.21356751780036,266.2444232663267,3199180
2010-05-19,257.5003356933594,261.6046376482778,255.64447306145345,260.5339501817773,3929266
2010-05-20,260.53399658203125,261.35485276256827,255.5909972779657,260.17710069630243,2398092
2010-05-21,256.5010986328125,259.07075357911185,244.5629259117121,253.39609981366743,2675092
2010-05-24,256.10858154296875,260.534101013187,254.35980407184428,258.7496208692611,2885428
2010-05-25,249.66653442382812,254.82368478200837,246.81136708733501,252.68230927963856,2297366
2010-05-26,263.3891906738281,265.8160785889798,251.29041019382413,252.6823130041603,3689464
2010-05-27,264.7633056640625,267.65417651717115,259.5347920026674,262.3185766224278,6883872
2010-05-28,267.9575500488281,268.92117374070483,262.49704483913524,267.60065399874094,2479374
2010-05-31,265.1915588378906,268.70699738048023,263.3892384598129,267.13664632407847,3327660
2010-06-01,263.8175048828125,268.36792849172576,262.21147302084313,265.1915456514391,3136912
2010-06-02,269.1886901855469,271.06239336549265,262.7824054327125,263.3177491984113,2769330
2010-06-03,273.18597412109375,274.4529502238753,265.9231294035085,271.240887087315,1684434
2010-06-04,273.15032958984375,274.70284017282245,269.52784846263063,273.1860322577662,1368210
2010-06-07,268.83184814453125,270.45572020217327,262.6753936068702,267.6362555418009,1734922
2010-06-08,267.74334716796875,271.95471503896624,266.60127576654565,269.0995474270086,2242222
2010-06-09,261.62261962890625,270.7234680180086,260.8909871542663,268.3858034747035,4867400
2010-06-10,267.85040283203125,268.7426426815717,260.5340360657999,260.5340360657999,1796036
2010-06-11,270.9195861816406,272.41855286018443,268.02873898838425,271.88320917378957,3237024
2010-06-14,278.7358093261719,280.9128664731836,270.5272003447353,272.4365854597437,3550492
2010-06-15,278.4086608886719,282.62423426663497,274.97445081809616,274.97445081809616,2642976
2010-06-16,281.57025146484375,283.4418230861189,278.8446746459776,282.4060905864692,2328816
2010-06-17,281.752197265625,285.20459751864576,277.53664372373817,282.36999964180325,1528920
2010-06-18,284.6229553222656,286.6943984970001,280.6436080462134,281.7520050403418,2225672
2010-06-21,286.2583923339844,288.54787354433245,285.13180672324614,288.14813095456805,1907428
2010-06-22,282.969482421875,285.82224484264117,281.0252237098199,285.27712930892983,1468324
2010-06-23,285.74951171875,286.71255787685385,279.77140790480934,279.82592832160924,2959524
2010-06-24,281.07977294921875,286.54909492862527,278.99016318911777,285.749587627729,3777510
2010-06-25,275.6467590332031,281.9337538472385,274.7745652938005,281.9337538472385,2037322
2010-06-28,277.91802978515625,278.7902233864541,275.31963724109346,275.62854930775524,1153124
2010-06-29,273.9386291503906,278.0088281954249,272.19426446846177,278.0088281954249,2614662
2010-06-30,272.921142578125,276.1555032066991,269.3778920586353,274.37478381689,3316516
2010-07-01,266.01629638671875,272.55768072409705,263.7449823806846,272.55768072409705,3407744
2010-07-02,270.3045349121094,271.10404188465867,265.598367818568,267.03384271779044,2943550
2010-07-05,268.5602111816406,272.1579820170182,267.8697227406516,272.1216276786057,2165596
2010-07-06,275.8829040527344,276.88228225433636,267.41542736361083,267.65165290176475,2760904
2010-07-07,277.86358642578125,278.88115330309364,272.1762269034865,276.70069087595704,2152934
2010-07-08,282.2972106933594,283.09671805599567,279.6988394908062,280.5528451081241,2187564
2010-07-09,281.4431457519531,284.9137101059858,280.0985230410568,283.460068727894,1836666
2010-07-12,287.71197509765625,288.54781445652,283.3873831119422,283.3873831119422,2725776
2010-07-13,281.5158996582031,287.8210617729497,279.662493148905,287.8210617729497,5545886
2010-07-14,281.5158996582031,285.1681700589322,279.91688488713953,282.7333157315087,2833842
2010-07-15,284.2231750488281,285.240741591552,278.09972061841154,280.1893297573281,3795536
2010-07-16,302.9571533203125,304.7196852631639,288.9113294981697,288.9113294981697,19135452
2010-07-19,300.43145751953125,303.3387414492118,299.17768688869324,302.1576573527791,3027924
2010-07-20,300.6313171386719,303.2842091849655,299.8136435653119,300.43144581245804,2342062
2010-07-21,306.3547668457031,307.00890070174114,301.48506179813864,302.3572550600534,2943720
2010-07-22,306.60931396484375,307.44515332614105,302.53911364540477,306.3549222859774,1362882
2010-07-23,305.0103454589844,308.8988411901281,303.48401733694163,308.8988411901281,1894472
2010-07-26,308.626220703125,309.4802261006316,305.4100481763039,306.1368688314776,2766490
2010-07-27,308.5898132324219,312.46011896820346,307.5177485915131,310.715754257654,2106602
2010-07-28,310.5159912109375,311.7879274900781,307.8085795520336,309.26222101390863,4359228
2010-07-29,309.6236267089844,311.44494216021366,309.2593636187385,311.44494216021366,5331904
2010-07-30,305.9079895019531,309.6234756563987,304.15953196834454,309.2592127438617,1283426
2010-08-02,305.36163330078125,309.05891121829734,304.88809590186384,307.07367365026425,2827762
2010-08-03,303.08502197265625,307.62010072836534,301.81010148414316,306.3451802398523,1281552
2010-08-04,316.4716491699219,317.6372950662756,304.4691804201029,304.52382875620003,5583934
2010-08-05,319.7682800292969,321.425694540071,315.3242890158347,317.6373502766589,2912950
2010-08-06,314.9781188964844,321.82625663987596,313.5028586691518,320.5513365513196,2437734
2010-08-09,320.4967956542969,321.8992215614983,308.20291925095995,313.6850952556164,4259986
2010-08-10,314.9053955078125,322.37278776681785,313.77618898617663,322.37278776681785,1545194
2010-08-11,312.59234619140625,318.00164360704497,311.3720516305224,313.994750044986,4020248
2010-08-12,310.8802490234375,312.13696076837283,308.2393423819444,312.13696076837283,2278092
2010-08-13,311.2262268066406,314.32246141837373,305.2523064273361,312.1733014417984,2589906
2010-08-16,311.1170349121094,314.1950618620799,309.1864453624637,312.17340655789576,1319098
2010-08-17,309.6962890625,313.63032351719283,307.4378548763191,309.6598494366728,1733196
2010-08-18,317.3094787597656,319.0215192434937,309.62353863502375,310.7163275949121,2888916
2010-08-19,317.6554870605469,320.8792273652651,315.92523812452396,318.36580422822004,2148534
2010-08-20,316.5263366699219,320.5150209459936,314.3589673844903,316.5445453732585,1746396
2010-08-23,317.0544738769531,318.8939972890332,312.1915502574504,313.2661303838245,1049830
2010-08-24,317.1638488769531,321.2435995709341,315.0875450008969,316.90886028991946,2650474
2010-08-25,317.34600830078125,321.09791367939215,315.56111026750443,317.6374143260691,2379968
2010-08-26,319.2766418457031,320.1872996946641,313.35736582745704,318.3659839967422,4204428
2010-08-27,311.82733154296875,318.0015937373601,309.987807869981,317.673748149646,1276514
2010-08-30,308.03900146484375,314.2860983038196,306.017324116367,314.2860983038196,1558570
2010-08-31,307.346923828125,308.78576720698675,302.4111643424034,305.9809375,2447874
2010-09-01,312.683349609375,313.63042446025054,305.98090191243955,306.70942786937394,2745484
2010-09-02,307.4743957519531,315.9981590209906,306.52732082554877,315.9981590209906,2758800
2010-09-03,304.99749755859375,310.17003816720165,304.1961142700169,309.62364350219775,2777970
2010-09-06,311.57244873046875,312.35562332641217,305.2524925335667,305.2524925335667,2287978
2010-09-07,317.4005432128906,318.69369459643366,311.80911528405534,312.53764125434515,2484236
